,track_id,n_frames_present,frame1,framef,mean_dn,std_dn,mean_dist,completeness,gap
1988,1578,1,258,258,3598.102294921875,,,1.0,0
1989,1908,3,317,319,3584.8898111979165,114.42028851806839,1.4142135623730951,1.0,0
1990,1349,13,213,226,3581.761023888221,761.8849191936378,1.65420096209004,0.9285714285714286,1
1991,724,6,114,119,3579.3854166666665,152.90925701861025,1.5995957487655885,1.0,0
1992,1699,6,278,283,3575.124755859375,349.42134487823387,2.1689629165334923,1.0,0
1993,626,5,95,99,3574.5166015625,294.6314696411656,1.6551364742988242,1.0,0
1994,2092,2,344,345,3567.733154296875,258.0577220998747,2.23606797749979,1.0,0
1995,1900,1,316,316,3562.85888671875,,,1.0,0
1996,809,1,126,126,3536.48046875,,,1.0,0
1997,1320,2,206,207,3536.332275390625,1093.8510321227138,2.692582403567252,1.0,0
1998,552,4,83,87,3535.8700561523438,191.65443296314697,1.885618083164127,0.8,1
1999,1704,2,280,281,3532.9093017578125,37.85869731957789,1.4142135623730951,1.0,0
2000,1339,4,210,213,3527.5518188476562,286.1874866312294,1.4142135623730951,1.0,0
2001,1886,1,312,312,3525.9462890625,,,1.0,0
2002,1402,10,225,234,3520.342138671875,191.82059868662446,2.1727358513083606,1.0,0
2003,1084,3,165,167,3511.777587890625,194.08416952464142,2.1095023109728612,1.0,0
2004,1686,1,276,276,3479.0625,,,1.0,0
2005,1761,1,289,289,3462.36083984375,,,1.0,0
2006,759,2,121,122,3455.111083984375,280.8329133665688,1.4142135623730951,1.0,0
2007,699,4,109,112,3454.5225219726562,294.66848159956623,1.4142135623730951,1.0,0
2008,1585,4,259,262,3440.78759765625,167.26617320132885,1.5437342541593948,1.0,0
2009,1118,6,171,176,3438.455118815104,235.6790564129694,2.253218685636374,1.0,0
2010,2071,1,340,340,3436.104248046875,,,1.0,0
2011,1229,3,191,193,3431.42724609375,50.57075989960071,1.4571067811865488,1.0,0
2012,2077,1,341,341,3406.45947265625,,,1.0,0
2013,1529,3,249,251,3404.906494140625,291.377246426527,1.6084946000525449,1.0,0
2014,1475,3,240,242,3402.9456380208335,364.3800086514169,1.8610507014589273,1.0,0
2015,1721,1,283,283,3395.375,,,1.0,0
2016,565,9,85,93,3391.3783365885415,203.15058205315432,1.584238971339378,1.0,0
2017,1262,2,196,197,3389.796142578125,182.51157988428756,1.4142135623730951,1.0,0
2018,1446,1,235,235,3389.520751953125,,,1.0,0
2019,1657,4,271,274,3389.3148193359375,365.1077406545421,1.5437342541593948,1.0,0
2020,1513,2,246,247,3388.328369140625,184.7796386956227,1.4142135623730951,1.0,0
2021,262,3,38,40,3368.7298177083335,401.5706786319796,1.7071067811865475,1.0,0
2022,1935,3,321,323,3368.2655436197915,287.49387011174747,2.1933246471302232,1.0,0
2023,672,2,102,104,3363.260986328125,186.21318720904387,2.8284271247461903,0.6666666666666666,1
2024,1536,3,250,252,3358.0786946614585,173.6810804785975,1.4142135623730951,1.0,0
2025,1129,3,173,175,3355.5536295572915,582.5750867738228,2.3127275254567863,1.0,0
2026,1672,1,273,273,3351.5126953125,,,1.0,0
2027,1555,1,253,253,3348.33251953125,,,1.0,0
2028,1183,1,182,182,3345.802734375,,,1.0,0
2029,429,1,64,64,3336.390869140625,,,1.0,0
2030,530,1,78,78,3335.032958984375,,,1.0,0
2031,506,6,74,81,3334.970458984375,191.49377502764457,2.037644002166241,0.75,2
2032,1735,4,285,288,3334.6175537109375,166.33134540714997,2.1368883148313915,1.0,0
2033,1522,1,247,247,3332.54931640625,,,1.0,0
2034,1368,1,217,217,3317.9208984375,,,1.0,0
2035,1454,2,236,237,3317.2554931640625,138.10938270287008,1.8027756377319946,1.0,0
2036,377,1,58,58,3314.67529296875,,,1.0,0
2037,1543,1,251,251,3312.242431640625,,,1.0,0
2038,519,8,76,83,3311.4340209960938,198.6310755411179,1.5282206935178935,1.0,0
2039,1681,1,275,275,3307.9140625,,,1.0,0
2040,1381,1,220,220,3307.73974609375,,,1.0,0
2041,1456,1,236,236,3299.5166015625,,,1.0,0
2042,1060,4,161,164,3290.4755249023438,226.61794934492275,1.4142135623730951,1.0,0
2043,1467,4,238,241,3286.78466796875,242.24664782208268,2.0533879862638087,1.0,0
2044,1436,2,232,233,3280.95068359375,259.0137663758052,1.6918924315688555,1.0,0
2045,497,1,72,72,3279.48291015625,,,1.0,0
2046,1437,1,232,232,3276.23779296875,,,1.0,0
2047,1511,1,246,246,3274.90185546875,,,1.0,0
2048,1228,1,190,190,3263.4326171875,,,1.0,0
2049,443,3,65,67,3260.43017578125,162.66703720729265,1.7677669529663689,1.0,0
